,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
0,Mikaelarca,,Venezuela,417,40,3831,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:25:39+00:00
1,SebasRigger1011,"La democracia no perdura, cuando se escribe con la izquierda...",,1769,1191,66680,6,#EleccionesColombia | La sencilla celebración de Rodolfo Hernández tras pasar a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/rC387ryXOc,"['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 02:25:35+00:00
2,MelgarejoJulie2,Universidad Distrital ❤️,,414,134,2524,5,"Abrimos hilo ⬇️🧵
A propósito de la situación y el momento electoral que como país vivimos queremos compartir algunas apreciaciones y a partir de ello aportar un grano de arena a la larga y necesaria discusión que deja la primera vuelta presidencial. #EleccionesColombia",[],2022-05-31 02:25:30+00:00
3,GalardonJ,"Ingeniera Industrial / MBA Columbia University / madre, esposa, mujer trabajadora / Comprometida con Colombia 🇨🇴 ¡Lectora!",Colombia,2801,1091,10873,45,"Rodolfo Hernández suele usar palabras explícitas y llamar “ladrones” y corruptos a sus contrincantes. El constructor millonario y exalcalde de Bucaramanga ha utilizado expresiones machistas y contra los migrantes. Este es un compilado

#EleccionesColombia https://t.co/UnM9SUtoGY",[],2022-05-31 02:25:21+00:00
4,Susan45078485,,,132,105,7452,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 02:25:21+00:00
5,ArleyBetancour6,"El gimnosofista es un sabio desnudo a nivel etimológico. Se trata de un individuo que busca la sabiduría, que tiene pensamiento crítico, que es creativo y libre",,6994,7092,83389,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:14+00:00
6,MARIPOSADESOL,"Naci en Valledupar, César Colombia",VALLEDUPAR CESAR COLOMBIA,198,8,105,1,"Colombianos mirando con optimismo la 2da vuelta presidencial. 

#CaricaturaPolitica #EleccionesColombia https://t.co/VGrVLQM9jZ","['CaricaturaPolitica', 'EleccionesColombia']",2022-05-31 02:25:12+00:00
7,Jannerrodrigue6,progresista amante de la SALSA Y LA NATURALEZAtengo mi teléfono pago mis datos puedo escribir lo que quiera💪💪💪,,1902,757,5373,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:10+00:00
8,cjhernandezo,,,213,70,20609,2441,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 02:25:05+00:00
9,jecastaneda08,"ingeniero de Sistemas, Boyacense, amante del ejercicio, la buena comida y en contra de las injusticias","Bogotá, D.C., Colombia",798,590,28889,757,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 02:25:05+00:00
10,Pas19417850,Amigos,,225,41,4984,15,Sin tapujos: la entrevista de Rodolfo Hernández en ‘Soho’ en su apartamento de 4.300 millones | #EleccionesColombia #ColombiaVota2022 #PetroORodolfo  https://t.co/7CrlqwaMCn,['EleccionesColombia'],2022-05-31 02:25:03+00:00
